id,title,season,goals,conceded,xG,xGA,pts,xpts
71,Aston Villa,2015,27,76,26.53,59.01,17,29.83
72,Everton,2015,59,55,53.98,54.75,47,52.69
73,Bournemouth,2015,45,67,38.71,53.97,42,43.74
74,Southampton,2015,59,41,56.2,44.29,63,61.08
75,Leicester,2015,68,36,68.42,45.02,81,68.94
76,West Bromwich Albion,2015,34,48,39.75,51.94,43,42.3
77,Sunderland,2015,48,62,40.52,58.85,39,40.52
78,Crystal Palace,2015,39,51,42.51,52.94,42,44.89
79,Norwich,2015,39,67,39.19,58.93,34,39.18
80,Chelsea,2015,59,53,54.48,44.63,50,59.62
81,West Ham,2015,65,51,54.4,55.48,62,49.8
82,Tottenham,2015,69,35,63.42,37.08,70,69.43
83,Arsenal,2015,65,36,73.53,33.86,71,77.01
84,Swansea,2015,42,52,39.96,53.63,47,42.4
85,Stoke,2015,41,55,42.63,54.35,51,48.3
86,Newcastle United,2015,44,65,37.61,55.42,37,40.21
87,Liverpool,2015,63,50,54.37,37.88,60,63.29
88,Manchester City,2015,71,41,66.2,37.47,66,70.14
89,Manchester United,2015,49,35,45.42,39.66,66,56.44
90,Watford,2015,40,50,43.2,51.85,45,48.25
72,Everton,2016,62,44,49.63,45.78,61,55.78
73,Bournemouth,2016,55,67,50.02,62.99,46,43.17
74,Southampton,2016,41,48,49.98,43.08,46,55.69
75,Leicester,2016,48,63,44.34,51.3,44,48.12
76,West Bromwich Albion,2016,43,51,38.21,47.9,45,45.59
77,Sunderland,2016,29,69,34.22,65.66,24,32.24
78,Crystal Palace,2016,50,63,45.4,50.03,41,48.45
80,Chelsea,2016,85,33,61.8,28.62,93,75.74
81,West Ham,2016,47,64,48.25,59.67,45,46.04
82,Tottenham,2016,86,26,70.07,33.78,86,75.37
83,Arsenal,2016,77,44,63.58,47.07,75,62.12
84,Swansea,2016,45,70,39.5,65.13,41,36.49
85,Stoke,2016,41,56,47.87,48.67,44,52.29
87,Liverpool,2016,78,42,66.63,37.65,76,69.83
88,Manchester City,2016,80,39,79.85,29.61,78,85.41
